time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
34.629	-10.400	24.000	24.000	24.000	-2.400e+01	5.252e-10	-4.569e+10	-2.400e+01	-9.826e-10	2.443e+10
35.370	-10.300	24.000	24.000	24.000	-2.400e+01	5.813e-10	-4.129e+10	-2.400e+01	-9.125e-10	2.630e+10
36.109	-10.200	24.000	24.000	24.000	-2.400e+01	5.196e-10	-4.619e+10	-2.400e+01	-9.268e-10	2.590e+10
36.869	-10.100	24.000	24.000	24.000	-2.400e+01	5.476e-10	-4.383e+10	-2.400e+01	-9.731e-10	2.466e+10
37.609	-10.000	24.000	24.000	24.000	-2.400e+01	5.227e-10	-4.592e+10	-2.400e+01	-9.453e-10	2.539e+10
38.350	-9.900	24.000	24.000	24.000	-2.400e+01	5.372e-10	-4.468e+10	-2.400e+01	-9.880e-10	2.429e+10
39.083	-9.800	24.000	24.000	24.000	-2.400e+01	5.393e-10	-4.450e+10	-2.400e+01	-9.910e-10	2.422e+10
39.811	-9.700	24.000	24.000	24.000	-2.400e+01	5.780e-10	-4.152e+10	-2.400e+01	-9.433e-10	2.544e+10
40.550	-9.600	24.000	24.000	24.000	-2.400e+01	5.404e-10	-4.441e+10	-2.400e+01	-9.537e-10	2.517e+10
41.289	-9.500	24.000	24.000	24.000	-2.400e+01	5.527e-10	-4.342e+10	-2.400e+01	-9.978e-10	2.405e+10
42.023	-9.400	24.000	24.000	24.000	-2.400e+01	5.185e-10	-4.629e+10	-2.400e+01	-9.995e-10	2.401e+10
42.753	-9.300	24.000	24.000	24.000	-2.400e+01	5.144e-10	-4.666e+10	-2.400e+01	-9.637e-10	2.490e+10
43.490	-9.200	24.000	24.000	24.000	-2.400e+01	5.323e-10	-4.509e+10	-2.400e+01	-9.344e-10	2.568e+10
44.230	-9.100	24.000	24.000	24.000	-2.400e+01	5.570e-10	-4.309e+10	-2.400e+01	-9.457e-10	2.538e+10
44.951	-9.000	24.000	24.000	24.000	-2.400e+01	5.254e-10	-4.568e+10	-2.400e+01	-9.703e-10	2.474e+10
45.690	-8.900	24.000	24.000	24.000	-2.400e+01	5.500e-10	-4.363e+10	-2.400e+01	-9.559e-10	2.511e+10
46.422	-8.800	24.000	24.000	24.000	-2.400e+01	5.705e-10	-4.207e+10	-2.400e+01	-9.573e-10	2.507e+10
47.140	-8.700	24.000	24.000	24.000	-2.400e+01	5.649e-10	-4.249e+10	-2.400e+01	-1.023e-09	2.346e+10
47.900	-8.600	24.000	24.000	24.000	-2.400e+01	5.993e-10	-4.005e+10	-2.400e+01	-1.012e-09	2.371e+10
48.630	-8.500	24.000	24.000	24.000	-2.400e+01	5.701e-10	-4.210e+10	-2.400e+01	-1.005e-09	2.388e+10
49.370	-8.400	24.000	24.000	24.000	-2.400e+01	5.206e-10	-4.611e+10	-2.400e+01	-9.928e-10	2.417e+10
50.162	-8.300	24.000	24.000	24.000	-2.400e+01	5.505e-10	-4.360e+10	-2.400e+01	-9.891e-10	2.426e+10
50.920	-8.200	24.000	24.000	24.000	-2.400e+01	5.489e-10	-4.373e+10	-2.400e+01	-1.006e-09	2.385e+10
51.659	-8.100	24.000	24.000	24.000	-2.400e+01	5.656e-10	-4.243e+10	-2.400e+01	-9.377e-10	2.560e+10
52.390	-8.000	24.000	24.000	24.000	-2.400e+01	5.491e-10	-4.371e+10	-2.400e+01	-9.779e-10	2.454e+10
53.130	-7.900	24.000	24.000	24.000	-2.400e+01	5.176e-10	-4.637e+10	-2.400e+01	-9.656e-10	2.486e+10
53.889	-7.800	24.000	24.000	24.000	-2.400e+01	5.293e-10	-4.534e+10	-2.400e+01	-9.437e-10	2.543e+10
