time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
65.733	-6.200	24.000	24.000	24.000	-2.400e+01	5.294e-10	-4.533e+10	-2.400e+01	-9.679e-10	2.480e+10
66.470	-6.100	24.000	24.000	24.000	-2.400e+01	5.597e-10	-4.288e+10	-2.400e+01	-9.586e-10	2.504e+10
67.211	-6.000	24.000	24.000	24.000	-2.400e+01	5.368e-10	-4.471e+10	-2.400e+01	-9.220e-10	2.603e+10
67.932	-5.900	24.000	24.000	24.000	-2.400e+01	5.891e-10	-4.074e+10	-2.400e+01	-9.181e-10	2.614e+10
68.671	-5.800	24.000	24.000	24.000	-2.400e+01	5.522e-10	-4.346e+10	-2.400e+01	-9.304e-10	2.580e+10
69.394	-5.700	24.000	24.000	24.000	-2.400e+01	5.518e-10	-4.349e+10	-2.400e+01	-9.323e-10	2.574e+10
70.115	-5.600	24.000	24.000	24.000	-2.400e+01	5.584e-10	-4.298e+10	-2.400e+01	-9.301e-10	2.580e+10
70.831	-5.500	24.000	24.000	24.000	-2.400e+01	5.211e-10	-4.606e+10	-2.400e+01	-9.857e-10	2.435e+10
71.570	-5.400	24.000	24.000	24.000	-2.400e+01	5.106e-10	-4.700e+10	-2.400e+01	-9.519e-10	2.521e+10
72.311	-5.300	24.000	24.000	24.000	-2.400e+01	5.249e-10	-4.573e+10	-2.400e+01	-9.672e-10	2.481e+10
73.040	-5.200	24.000	24.000	24.000	-2.400e+01	5.389e-10	-4.453e+10	-2.400e+01	-9.798e-10	2.450e+10
73.781	-5.100	24.000	24.000	24.000	-2.400e+01	5.678e-10	-4.227e+10	-2.400e+01	-9.743e-10	2.463e+10
74.530	-5.000	24.000	24.000	24.000	-2.400e+01	5.219e-10	-4.598e+10	-2.400e+01	-9.149e-10	2.623e+10
75.270	-4.900	24.000	24.000	24.000	-2.400e+01	5.513e-10	-4.353e+10	-2.400e+01	-9.054e-10	2.651e+10
76.004	-4.800	24.000	24.000	24.000	-2.400e+01	5.543e-10	-4.330e+10	-2.400e+01	-9.596e-10	2.501e+10
76.740	-4.700	24.000	24.000	24.000	-2.400e+01	5.059e-10	-4.744e+10	-2.400e+01	-9.850e-10	2.437e+10
77.481	-4.600	24.000	24.000	24.000	-2.400e+01	5.481e-10	-4.379e+10	-2.400e+01	-9.302e-10	2.580e+10
78.225	-4.500	24.000	24.000	24.000	-2.400e+01	5.353e-10	-4.483e+10	-2.400e+01	-9.224e-10	2.602e+10
78.966	-4.400	24.000	24.000	24.000	-2.400e+01	6.358e-10	-3.775e+10	-2.400e+01	-9.107e-10	2.635e+10
79.710	-4.300	24.000	24.000	24.000	-2.400e+01	5.515e-10	-4.352e+10	-2.400e+01	-9.451e-10	2.539e+10
80.496	-4.200	24.000	24.000	24.000	-2.400e+01	5.797e-10	-4.140e+10	-2.400e+01	-9.437e-10	2.543e+10
81.241	-4.100	24.000	24.000	24.000	-2.400e+01	5.224e-10	-4.594e+10	-2.400e+01	-1.004e-09	2.390e+10
82.021	-4.000	24.000	24.000	24.000	-2.400e+01	5.832e-10	-4.115e+10	-2.400e+01	-9.600e-10	2.500e+10
82.761	-3.900	24.000	24.000	24.000	-2.400e+01	5.305e-10	-4.524e+10	-2.400e+01	-9.387e-10	2.557e+10
83.500	-3.800	24.000	24.000	24.000	-2.400e+01	5.090e-10	-4.715e+10	-2.400e+01	-9.602e-10	2.500e+10
84.241	-3.700	24.000	24.000	24.000	-2.400e+01	5.584e-10	-4.298e+10	-2.400e+01	-9.595e-10	2.501e+10
84.982	-3.600	24.000	24.000	24.000	-2.400e+01	5.419e-10	-4.428e+10	-2.400e+01	-9.475e-10	2.533e+10
85.731	-3.500	24.000	24.000	24.000	-2.400e+01	5.166e-10	-4.646e+10	-2.400e+01	-9.243e-10	2.597e+10
86.471	-3.400	24.000	24.000	24.000	-2.400e+01	5.385e-10	-4.457e+10	-2.400e+01	-9.571e-10	2.508e+10
87.204	-3.300	24.000	24.000	24.000	-2.400e+01	5.351e-10	-4.485e+10	-2.400e+01	-9.720e-10	2.469e+10
87.952	-3.200	24.000	24.000	24.000	-2.400e+01	5.460e-10	-4.396e+10	-2.400e+01	-9.179e-10	2.615e+10
88.701	-3.100	24.000	24.000	24.000	-2.400e+01	5.215e-10	-4.602e+10	-2.400e+01	-9.881e-10	2.429e+10
